running 1476 tests
test behavior::tests::call_graph_test_order_leaf_first ... ok
test behavior::tests::call_graph_self_edges_excluded_from_callees ... ok
test behavior::tests::composite_result_round_trips ... ok
test behavior::tests::dependency_trace_round_trips ... ok
test behavior::tests::dependency_trace_with_side_effects_only ... ok
test behavior::tests::empty_trace_no_external_calls ... [noop-frontend] Received: {"protocol_version":"0.1.0","id":1,"command":"handshake","capabilities":["analyze","execute","instrument"]}
test behavior::tests::from_exploration_result_carries_nondeterministic_fields ... ok
test behavior::tests::from_exploration_result_populates_trace_from_raw_results ... ok
test batch_state::tests::save_creates_parent_directories ... ok
test behavior::tests::traced_call_round_trips ... ok
test behavior::tests::traced_side_effect_round_trips ... ok
test behavior::tests::dependency_trace_captures_call_ordering ... ok
test boundary_dict::tests::all_entries_are_valid_json ... ok
test boundary_dict::tests::all_entries_have_descriptions ... ok
test behavior::tests::two_function_chain_integration ... ok
test boundary_dict::tests::bool_boundaries_return_both_values ... ok
test boundary_dict::tests::boundary_category_round_trips ... ok
test boundary_dict::tests::boundary_entry_round_trips ... ok
test boundary_dict::tests::float_boundaries_include_nan_infinity_epsilon ... ok
test boundary_dict::tests::generate_boundary_inputs_empty_params ... ok
test boundary_dict::tests::category_filtering_works ... ok
test boundary_dict::tests::generate_boundary_inputs_produces_correct_count ... ok
test boundary_dict::tests::int_boundaries_include_expected_values ... ok
test boundary_dict::tests::nullable_includes_null_plus_inner_boundaries ... ok
test boundary_dict::tests::opaque_type_returns_empty ... ok
test boundary_dict::tests::string_boundaries_include_expected_values ... ok
test boundary_dict::tests::string_boundaries_include_unicode ... ok
test boundary_dict::tests::unknown_type_returns_empty ... ok
test cache::tests::default_dir_is_relative_to_project_root ... ok
test cache::tests::is_fresh_returns_false_when_no_cached_map ... ok
test cache::tests::is_fresh_returns_false_when_fingerprint_differs ... ok
test cache::tests::is_fresh_returns_false_when_no_cached_fingerprint ... ok
test cache::tests::hierarchical_path_no_colon ... ok
test batch_analyze::tests::batch_analyze_no_frontend_for_language_returns_error ... ok
test batch_analyze::tests::batch_analyze_empty_file_list ... ok
test cache::tests::hierarchical_path_free_function ... ok
test cache::tests::hierarchical_path_class_method ... ok
test cache::tests::load_returns_none_for_missing ... ok
test call_graph::tests::batches_caller_of_cycle_appears_after_cycle ... ok
test call_graph::tests::batches_cycle_grouped_together ... ok
test call_graph::tests::batches_cycle_with_dependency_on_leaf ... ok
test call_graph::tests::batches_diamond_produces_three_layers ... ok
test call_graph::tests::batches_empty_graph ... ok
test call_graph::tests::batches_isolated_nodes_all_in_layer_zero ... ok
test cache::tests::is_fresh_returns_true_when_fingerprint_matches ... ok
test call_graph::tests::batches_layer_indices_are_sequential ... ok
test cache::tests::new_creates_directory_if_missing ... ok
test cache::tests::load_old_cache_without_nondeterministic_fields ... [noop-frontend] Sent: {"protocol_version":"0.1.0","id":1,"status":"handshake","frontend_version":"0.1.0","language":"noop","capabilities":["analyze","execute","instrument","setup","teardown","generate"]}
test call_graph::tests::batches_linear_chain_produces_one_per_layer ... ok
test cache::tests::store_and_load_preserves_nondeterministic_fields ... ok
test cache::tests::store_and_load_round_trip ... ok
test call_graph::tests::batches_mixed_cycles_and_linear_chains ... ok
test call_graph::tests::batches_three_node_cycle ... ok
test call_graph::tests::batches_single_node ... ok
test call_graph::tests::callers_of_unknown_node_returns_empty ... ok
test call_graph::tests::batches_two_independent_cycles ... ok
test call_graph::tests::cross_file_dependency_resolution ... ok
test call_graph::tests::cycle_detection_two_nodes ... ok
test call_graph::tests::cycle_nodes_appear_in_final_topo_layer ... ok
test call_graph::tests::diamond_dependency ... ok
test call_graph::tests::empty_registry_produces_empty_graph ... ok
test cache::tests::store_overwrites_existing ... ok
test call_graph::tests::leaf_nodes_have_no_callees ... ok
test call_graph::tests::linear_chain_produces_correct_topo_layers ... ok
test call_graph::tests::large_graph_with_mixed_structure ... ok
test call_graph::tests::multiple_sccs_detected ... ok
test call_graph::tests::self_call_not_added_as_edge ... ok
test call_graph::tests::single_node_no_edges ... ok
test call_graph::tests::source_module_disambiguates_same_name_functions ... ok
test call_graph::tests::three_node_cycle ... ok
test call_graph::tests::unknown_dependency_is_ignored ... ok
test canonical_json::tests::array_preserves_order ... ok
test canonical_json::tests::composite_id_format ... ok
test canonical_json::tests::composite_id_stable_across_calls ... ok
test canonical_json::tests::deeply_nested_structure ... ok
test cache::tests::no_collision_same_func_different_files ... ok
test canonical_json::tests::different_values_produce_different_hashes ... ok
test canonical_json::tests::empty_object_and_array ... ok
test canonical_json::tests::float_canonicalize ... ok
test canonical_json::tests::hash_is_six_hex_chars ... ok
test canonical_json::tests::integer_canonicalize ... ok
test canonical_json::tests::key_order_does_not_affect_hash ... ok
test canonical_json::tests::nested_object_keys_sorted ... ok
test canonical_json::tests::null_bool_canonicalize ... ok
test canonical_json::tests::object_keys_sorted ... ok
test canonical_json::tests::string_canonicalize_escapes ... ok
test canonical_json::tests::unicode_nfc_normalization ... ok
test checkpoint::tests::compute_scan_id_differs_for_different_files ... ok
test checkpoint::tests::compute_scan_id_deterministic_regardless_of_order ... ok
test clustering::tests::cluster_specimen_counts_are_accurate ... ok
test clustering::tests::clustering_result_round_trips ... ok
test clustering::tests::empty_records_produces_empty_clusters ... ok
test clustering::tests::input_ranges_reflect_parameter_min_max ... ok
test clustering::tests::multiple_parameters_have_independent_ranges ... ok
test clustering::tests::output_range_is_none_when_all_records_threw ... ok
test clustering::tests::output_range_reflects_return_value_min_max ... ok
test clustering::tests::record_indices_point_to_correct_records ... ok
test clustering::tests::records_with_no_branches_cluster_together ... ok
test clustering::tests::single_record_produces_one_cluster ... ok
test clustering::tests::string_values_use_lexicographic_range ... ok
test clustering::tests::two_branch_function_groups_into_four_clusters ... ok
test checkpoint::tests::load_returns_none_for_missing_file ... ok
test checkpoint::tests::is_completed_false_when_cache_missing ... ok
test checkpoint::tests::is_completed_true_when_all_conditions_met ... ok
test config::tests::genetic_config_defaults ... ok
test config::tests::genetic_config_partial_yaml_uses_defaults ... ok
test config::tests::genetic_config_serde_roundtrip ... ok
test config::tests::merge_configs_combines_opaque_types_and_deduplicates ... ok
test config::tests::merge_configs_empty_returns_default ... ok
test config::tests::merge_configs_generators_near_overrides_far ... ok
test config::tests::merge_configs_nearest_wins_for_defaults ... ok
test checkpoint::tests::save_creates_parent_directories ... ok
test config::tests::discover_configs_empty_when_no_shatter_dirs ... ok
test checkpoint::tests::round_trip_save_load ... ok
test config::tests::merge_configs_nearest_wins_for_function_patterns ... ok
test checkpoint::tests::is_completed_false_when_not_in_checkpoint ... ok
test checkpoint::tests::is_completed_false_when_fp_changed ... ok
test config::tests::merge_configs_no_nondeterminism_stays_none ... ok
test config::tests::merge_configs_opaque_types_empty_when_no_configs_have_them ... ok
test config::tests::merge_configs_setup_nearest_wins ... ok
test config::tests::merge_configs_unions_nondeterminism ... ok
test config::tests::parse_candidate_inputs_missing_file ... ok
test config::tests::nondeterminism_config_round_trip ... ok
test config::tests::parse_candidate_inputs_basic ... ok
test config::tests::parse_candidate_inputs_invalid_json ... ok
test config::tests::discover_configs_finds_nearest_first ... ok
test config::tests::parse_candidate_inputs_without_labels ... ok
test config::tests::parse_config_basic ... ok
test config::tests::parse_config_missing_file_returns_error ... ok
test config::tests::parse_config_invalid_yaml_returns_error ... ok
test config::tests::parse_config_with_opaque_types ... ok
test config::tests::parse_config_with_setup_and_generators ... ok
test config::tests::parse_config_without_new_fields_still_works ... ok
test config::tests::parse_config_without_nondeterminism_is_none ... ok
test config::tests::parse_config_without_opaque_types_defaults_to_empty ... ok
test config::tests::hierarchical_merge_integration ... ok
test config::tests::resolve_function_config_falls_through_to_defaults ... ok
test config::tests::resolve_function_config_glob_pattern_matching ... ok
test config::tests::resolve_function_config_setup_mode_defaults_to_per_function ... ok
test config::tests::resolve_function_config_uses_cli_defaults_when_no_config ... ok
test config::tests::resolve_function_config_uses_function_override ... ok
test config::tests::resolve_config_no_setup_returns_none ... ok
test config::tests::resolve_config_with_setup_from_defaults ... ok
test config::tests::setup_mode_serialization_round_trip ... ok
test config::tests::setup_mode_yaml_round_trip ... ok
test config::tests::shatter_config_with_genetic_section ... ok
test config::tests::resolve_config_generators_function_overrides_defaults ... ok
test core_sample::tests::test_batch_uses_qualified_names ... ok
test config::tests::parse_config_minimal ... ok
test core_sample::tests::test_complexity_tier_classification ... ok
test core_sample::tests::test_budget_exceeds_total ... ok
test core_sample::tests::test_dependency_closure_uses_qualified_names ... ok
test core_sample::tests::test_depth_map_uses_qualified_names ... ok
test core_sample::tests::test_batches_are_disjoint ... ok
test config::tests::resolve_config_with_setup_from_function ... ok
test core_sample::tests::test_function_kind_classification ... ok
test core_sample::tests::test_empty_entries ... ok
test core_sample::tests::test_dependency_closure ... ok
test core_sample::tests::test_min_one_per_stratum ... ok
test core_sample::tests::test_parse_batch_invalid ... ok
test core_sample::tests::test_parse_batch_next ... ok
test core_sample::tests::test_parse_batch_range ... ok
test core_sample::tests::test_different_seed_different_selection ... ok
test core_sample::tests::test_parse_batch_single ... ok
test core_sample::tests::test_parse_budget_absolute ... ok
test config::tests::parse_config_with_nondeterminism ... ok
test core_sample::tests::test_parse_budget_invalid ... ok
test config::tests::resolve_function_config_explicit_inputs_overrides_config ... ok
test core_sample::tests::test_parse_budget_percentage ... ok
test core_sample::tests::test_same_named_functions_different_files ... ok
test core_sample::tests::test_selected_names_are_qualified ... ok
test coverage_metrics::tests::all_discovery_methods_represented ... ok
test coverage_metrics::tests::all_branches_found_by_z3_gives_100_percent_z3 ... ok
test coverage_metrics::tests::coverage_metrics_serialization_round_trips ... ok
test coverage_metrics::tests::discovery_method_serialization_round_trips ... ok
test core_sample::tests::test_stable_selection ... ok
test coverage_metrics::tests::extract_targets_all_discovered_solvable ... ok
test coverage_metrics::tests::extract_targets_all_uncovered ... ok
test coverage_metrics::tests::extract_targets_mixed_uncovered_and_opaque ... ok
test coverage_metrics::tests::extract_targets_opaque_hint_from_runtime_not_static ... ok
test coverage_metrics::tests::extract_targets_empty_branches ... ok
test config::tests::resolve_function_config_with_inputs_loads_candidates ... ok
test coverage_metrics::tests::extract_targets_sorted_by_branch_id ... ok
test coverage_metrics::tests::extract_targets_uncovered_hint_from_condition_text ... ok
test coverage_metrics::tests::format_coverage_metrics_omits_zero_categories ... ok
test coverage_metrics::tests::format_coverage_metrics_shows_all_sections ... ok
test coverage_metrics::tests::format_coverage_metrics_with_no_branches ... ok
test coverage_metrics::tests::merge_adds_all_counters ... ok
test coverage_metrics::tests::merge_is_additive ... ok
test coverage_metrics::tests::merge_with_default_is_identity ... ok
test coverage_metrics::tests::metrics_from_empty_exploration ... ok
test coverage_metrics::tests::mixed_discovery_methods_give_correct_percentages ... ok
test coverage_metrics::tests::no_branches_gives_zero_metrics_no_division_by_zero ... ok
test coverage_metrics::tests::symexpr_ratio_with_no_constraints_returns_zero ... ok
test coverage_metrics::tests::symexpr_vs_unknown_ratio_calculation ... ok
test coverage_metrics::tests::target_branch_serialization_round_trips ... ok
test crypto_registry::tests::classify_all_dependencies_matches_crypto ... ok
test crypto_registry::tests::classify_dependency_with_module_prefix ... ok
test crypto_registry::tests::chacha20poly1305_entries ... ok
test crypto_registry::tests::classify_all_dependencies_empty_input ... ok
test crypto_registry::tests::classify_all_dependencies_no_match ... ok
test crypto_registry::tests::classify_dependency_exact_match ... ok
test crypto_registry::tests::crypto_js_entries ... ok
test crypto_registry::tests::classify_dependency_no_match ... ok
test crypto_registry::tests::lookup_go_aead_open ... ok
test crypto_registry::tests::lookup_rust_ring_seal ... ok
test crypto_registry::tests::lookup_go_aead_seal ... ok
test crypto_registry::tests::load_builtin_registry ... ok
test crypto_registry::tests::lookup_rust_aes_gcm_decrypt ... ok
test crypto_registry::tests::lookup_missing_returns_none ... ok
test crypto_registry::tests::lookup_node_crypto_decipheriv ... ok
test discovery::tests::discovers_go_files ... ok
test discovery::tests::discovers_rust_files ... ok
test discovery::tests::empty_directory_returns_empty_vec ... ok
test crypto_registry::tests::override_merge ... ok
test discovery::tests::discovers_typescript_files ... ok
test discovery::tests::exclude_patterns_remove_files ... ok
test discovery::tests::excludes_node_modules_by_default ... ok
test discovery::tests::excludes_dist_and_target_by_default ... ok
test batch_analyze::tests::batch_analyze_with_noop_frontend ... ok
test discovery::tests::filter_applies_user_excludes ... ok
test discovery::tests::excludes_test_files_by_default ... ok
test discovery::tests::filter_empty_list_returns_empty ... ok
test discovery::tests::filter_applies_user_includes ... ok
test discovery::tests::language_from_extension_all_variants ... ok
test discovery::tests::filter_applies_default_excludes ... ok
test discovery::tests::invalid_glob_pattern_returns_error ... ok
test discovery::tests::filter_skips_paths_outside_root ... ok
test discovery::tests::include_patterns_filter_results ... ok
test discovery::tests::excludes_vendor_by_default ... ok
test discovery::tests::filter_keeps_source_files_and_detects_language ... ok
test discovery::tests::gitignore_disabled_when_respect_gitignore_is_false ... ok
test drilling::tests::blocking_params_from_multi_param_expr ... ok
test drilling::tests::blocking_params_from_single_param_expr ... ok
test drilling::tests::blocking_params_unknown_returns_empty ... ok
test discovery::tests::filter_results_are_sorted ... ok
test drilling::tests::blocking_params_unresolvable_name_skipped ... ok
test drilling::tests::drilled_inputs_empty_prefix_returns_empty ... ok
test drilling::tests::drilled_inputs_empty_blocking_mutates_all ... ok
test drilling::tests::drilled_inputs_multiple_blocking_params ... ok
test drilling::tests::drilled_inputs_out_of_bounds_index_skipped ... ok
test equivalence::tests::branch_path_equality ... ok
test drilling::tests::drilled_inputs_pins_non_blocking ... ok
test equivalence::tests::branch_path_from_decisions ... ok
test discovery::tests::respects_gitignore ... ok
test equivalence::tests::branch_path_round_trips ... ok
test equivalence::tests::canonical_example_is_simplest_input ... ok
test equivalence::tests::canonical_example_prefers_shorter_json ... ok
test equivalence::tests::different_branches_different_classes ... ok
test discovery::tests::results_are_sorted_by_path ... ok
test equivalence::tests::empty_branch_path_groups_together ... ok
test equivalence::tests::empty_executions_produce_no_classes ... ok
test equivalence::tests::error_executions_grouped_by_branch_path ... ok
test equivalence::tests::multiple_params_preconditions ... ok
test equivalence::tests::preconditions_all_equal ... ok
test equivalence::tests::precondition_round_trips ... ok
test discovery::tests::respects_shatterignore ... ok
test equivalence::tests::preconditions_all_negative ... ok
test equivalence::tests::preconditions_all_positive ... ok
test equivalence::tests::preconditions_same_type ... ok
test equivalence::tests::same_branches_different_returns_same_class ... ok
test executability::tests::all_primitive_params_returns_empty ... ok
test equivalence::tests::single_execution_produces_one_class ... ok
test executability::tests::array_of_opaque_returns_reason ... ok
test executability::tests::builtin_opaque_takes_precedence_over_custom ... ok
test executability::tests::complex_with_opaque_inner_returns_reason ... ok
test executability::tests::custom_opaque_type_matched_by_type_name ... ok
test executability::tests::custom_opaque_type_no_match_returns_empty ... ok
test executability::tests::custom_opaque_types_empty_list_preserves_default_behavior ... ok
test executability::tests::custom_opaque_with_no_type_name_not_matched ... ok
test executability::tests::deeply_nested_opaque_in_object_array_returns_reason ... ok
test executability::tests::direct_opaque_param_returns_reason ... ok
test executability::tests::empty_params_returns_empty ... ok
test executability::tests::multiple_custom_opaque_types_matched ... ok
test executability::tests::multiple_opaque_params_returns_multiple_reasons ... ok
test executability::tests::no_opaque_params_returns_empty ... ok
test executability::tests::nullable_opaque_returns_reason ... ok
test executability::tests::union_containing_opaque_returns_reason ... ok
test execution_record::tests::branch_decision_missing_constraint_defaults_to_unknown ... ok
test execution_record::tests::error_info_category_none_omitted_in_json ... ok
test execution_record::tests::branch_decision_round_trips ... ok
test execution_record::tests::error_info_round_trips ... ok
test execution_record::tests::error_info_with_category_round_trips ... ok
test execution_record::tests::error_info_without_stack_round_trips ... ok
test execution_record::tests::external_call_round_trips ... ok
test execution_record::tests::execution_record_with_error_round_trips ... ok
test execution_record::tests::scope_event_round_trips ... ok
test execution_record::tests::sym_constraint_default_is_unknown ... ok
test execution_record::tests::full_execution_record_round_trips ... ok
test execution_record::tests::side_effect_variants_round_trip ... ok
test execution_record::tests::sym_constraint_expr_round_trips ... ok
test execution_record::tests::sym_constraint_unknown_round_trips ... ok
test execution_record::tests::trace_event_branch_round_trips ... ok
test execution_record::tests::trace_event_scope_round_trips ... ok
test execution_record::tests::truncation_info_round_trips ... ok
test explorer::tests::classify_error_intent_deep_path_is_runtime ... ok
test explorer::tests::classify_error_intent_guard_branch_is_validation ... ok
test explorer::tests::classify_error_intent_no_error_returns_none ... ok
test explorer::tests::format_exploration_report_includes_coverage_metrics ... ok
test explorer::tests::format_exploration_report_shows_errors ... ok
test explorer::tests::format_exploration_report_shows_clustered_paths ... ok
test explorer::tests::format_exploration_report_verbose_shows_legacy_format ... ok
test explorer::tests::format_exploration_report_with_color ... ok
test explorer::tests::format_exploration_report_with_location ... ok
test explorer::tests::format_exploration_report_with_perf ... ok
test explorer::tests::format_explore_header_and_footer ... ok
test explorer::tests::format_value_short_truncates_long_values ... ok
test explorer::tests::loop_buckets_default_boundaries ... ok
test explorer::tests::loop_buckets_none_is_disabled ... ok
test explorer::tests::path_hash_backward_compat_when_scope_events_empty ... ok
test explorer::tests::path_hash_branches_outside_scopes_still_ordered ... ok
test explorer::tests::path_hash_different_lines_executed_produces_different_hash ... ok
test explorer::tests::path_hash_distinguishes_different_return_values ... ok
test explorer::tests::path_hash_distinguishes_error_from_success ... ok
test explorer::tests::path_hash_early_exit_from_loop ... ok
test explorer::tests::path_hash_loop_bucketing_disabled ... ok
test explorer::tests::path_hash_loop_bucketing_distinguishes_counts ... ok
test explorer::tests::path_hash_loop_bucketing_collapses_within_bucket ... ok
test explorer::tests::path_hash_loop_bucketing_custom_boundaries ... ok
test explorer::tests::path_hash_mixed_loops_and_recursion ... ok
test explorer::tests::path_hash_loop_different_branches_different_hash ... ok
test explorer::tests::path_hash_nested_loop_in_call_scope_bucketing ... ok
test explorer::tests::path_hash_recursion_collapses ... ok
test explorer::tests::path_hash_same_lines_executed_produces_same_hash ... ok
test explorer::tests::path_hash_nested_loops ... ok
test explorer::tests::path_hash_simple_loop_same_branches_same_hash ... ok
test explorer::tests::path_hash_uses_branch_path_when_available ... ok
test batch_analyze::tests::batch_analyze_multiple_languages_with_noop ... ok
test explorer::tests::prop_tests::path_hash_sensitive_to_taken_bit ... ok
test explorer::tests::explore_function_instruments_before_executing ... ok[noop-frontend] Received: {"protocol_version":"0.1.0","id":4,"command":"execute","function":"stub","inputs":[1],"mocks":[]}
test explorer::tests::fallback_to_builtin_when_no_generators_configured ... ok
test export::tests::capitalize_first_works ... ok
test export::tests::escapes_single_quotes_in_strings ... ok
test export::tests::format_value_bigint_produces_constructor ... ok
test export::tests::format_value_date_produces_js_constructor ... ok
test export::tests::format_value_error_produces_constructor ... ok
test export::tests::format_value_handles_all_json_types ... ok
test export::tests::format_value_option_none ... ok
test export::tests::format_value_option_some ... ok
test explorer::tests::generator_integration_uses_custom_values ... ok
test export::tests::format_value_regexp_produces_literal ... ok
test export::tests::format_value_unknown_complex_falls_through ... ok
test export::tests::format_value_uuid_produces_string ... ok
test export::tests::generates_describe_block ... ok
test export::tests::format_value_symbol_produces_constructor ... ok
test export::tests::generates_import_statement ... ok
test export::tests::format_value_url_produces_constructor ... ok
test export::tests::generates_it_block_for_return_value ... ok
test export::tests::generates_it_block_for_string_return ... ok
test export::tests::generates_it_block_for_thrown_error ... ok
test export::tests::generates_multiple_behaviors ... ok
test export::tests::go_empty_behavior_map_has_comment ... ok
test export::tests::go_escapes_double_quotes_in_strings ... ok
test export::tests::go_format_value_date_produces_constructor ... ok
test export::tests::go_format_value_error_produces_errors_new ... ok
test export::tests::go_generates_bool_values ... ok
test export::tests::go_format_value_regexp_produces_compile ... ok
test export::tests::go_generates_float_values ... ok
test export::tests::go_generates_multiple_params ... ok
test export::tests::go_format_value_all_types ... ok
test export::tests::go_generates_panic_test_with_defer_recover ... ok
test export::tests::go_generates_nil_return_for_null ... ok
test explorer::tests::setup_skipped_when_frontend_lacks_capability ... ok
test export::tests::go_generates_package_and_import ... ok
test export::tests::go_generates_string_return_values ... ok
test export::tests::go_generates_table_driven_test_with_int_return ... ok
test export::tests::go_generates_test_function_name_capitalized ... ok
test export::tests::go_mixed_normal_and_panic_behaviors ... ok
test export::tests::go_type_from_complex_regexp ... ok
test export::tests::go_type_from_complex_unknown_is_interface ... ok
test export::tests::go_type_detection_from_values ... ok
test export::tests::go_type_from_complex_date ... ok
test export::tests::handles_null_return_value ... ok
test export::tests::vitest_generates_describe_block ... ok
test export::tests::vitest_generates_function_import ... ok
test export::tests::vitest_generates_it_block_for_return_value ... ok
test export::tests::vitest_generates_multiple_behaviors ... ok
test export::tests::vitest_generates_thrown_error_test ... ok
test export::tests::vitest_generates_vitest_import ... ok
test file_lock::tests::acquire_and_drop_releases_lock ... ok
test explorer::tests::random_explorer_raw_results_are_harvestable ... ok
test file_lock::tests::try_acquire_returns_none_when_held ... ok
test explorer::tests::per_function_setup_teardown_lifecycle ... ok
test fingerprint::tests::deep_fingerprints_callee_change_propagates_to_caller ... ok
test fingerprint::tests::deep_fingerprints_caller_incorporates_callee ... [noop-frontend] Sent: {"protocol_version":"0.1.0","id":8,"status":"execute","return_value":null,"thrown_error":null,"branch_path":[],"lines_executed":[],"calls_to_external":[],"path_constraints":[],"side_effects":[],"performance":{"wall_time_ms":0.0,"cpu_time_us":0,"heap_used_bytes":0,"heap_allocated_bytes":0}}
test fingerprint::tests::deep_fingerprints_diamond_dependency ... ok
test fingerprint::tests::deep_fingerprints_out_of_scope_dep_ignored ... ok
test fingerprint::tests::deep_fingerprints_single_function_no_deps ... ok
test fingerprint::tests::deep_fp_changes_when_callee_fp_changes ... ok
test fingerprint::tests::deep_fp_ignores_out_of_scope_callees ... ok
test fingerprint::tests::deep_fp_no_callees_is_deterministic ... ok
test fingerprint::tests::deep_fp_same_inputs_same_output ... ok
test fingerprint::tests::different_branch_structure_produces_different_fingerprint ... ok
test fingerprint::tests::deep_fp_differs_with_different_shallow ... ok
test fingerprint::tests::different_param_types_produces_different_fingerprint ... ok
test fingerprint::tests::different_source_text_produces_different_fingerprint ... ok
test fingerprint::tests::extract_function_source_handles_single_line ... ok
test fingerprint::tests::extract_function_source_reads_correct_lines ... ok
test fingerprint::tests::param_order_does_not_affect_fingerprint ... ok
test fingerprint::tests::whitespace_change_in_source_produces_different_fingerprint ... ok
test float_probe::tests::build_bias_map_from_results ... ok
test float_probe::tests::classify_all_agree ... ok
test float_probe::tests::classify_at_threshold ... ok
test float_probe::tests::classify_below_threshold ... ok
test float_probe::tests::classify_none_agree ... ok
test fingerprint::tests::identical_inputs_produce_same_fingerprint ... ok
test float_probe::tests::classify_zero_probes ... ok
test float_probe::tests::executions_agree_same_return ... ok
test float_probe::tests::executions_disagree_different_error_type ... ok
test float_probe::tests::executions_agree_same_error_type ... ok
test float_probe::tests::executions_disagree_different_return ... ok
test float_probe::tests::executions_disagree_return_vs_error ... ok
test float_probe::tests::float_param_indices_empty_when_no_floats ... ok
test float_probe::tests::float_param_indices_finds_floats ... ok
test float_probe::tests::generate_probe_pairs_correct_structure ... ok
test explorer::tests::per_execution_setup_teardown_lifecycle ... ok
test frontend::tests::frontend_config_new_sets_defaults ... ok
test explorer::tests::user_seeds_consumed_before_literals ... ok
test frontend::tests::execute_returns_empty_result ... ok
test frontend::tests::analyze_returns_stub_function ... ok
